lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
9.109756097560977e-05,9.109756097560977e-05,949,,,,
,,949,1.9649245738983154,1,,
9.062851782363978e-05,9.062851782363978e-05,999,,,,
9.062851782363978e-05,9.062851782363978e-05,999,,,,
,,999,1.1714229583740234,1,,
9.01594746716698e-05,9.01594746716698e-05,1049,,,,
9.01594746716698e-05,9.01594746716698e-05,1049,,,,
,,1049,1.0517618656158447,1,,
,,1067,,1,1.1912870407104492,0.0004143100511073254
8.969043151969982e-05,8.969043151969982e-05,1099,,,,
8.969043151969982e-05,8.969043151969982e-05,1099,,,,
,,1099,1.1420166492462158,2,,
8.922138836772983e-05,8.922138836772983e-05,1149,,,,
8.922138836772983e-05,8.922138836772983e-05,1149,,,,
,,1149,1.3153256177902222,2,,
8.875234521575986e-05,8.875234521575986e-05,1199,,,,
8.875234521575986e-05,8.875234521575986e-05,1199,,,,
,,1199,1.5132513046264648,2,,
8.828330206378987e-05,8.828330206378987e-05,1249,,,,
8.828330206378987e-05,8.828330206378987e-05,1249,,,,
,,1249,1.420988917350769,2,,
8.781425891181989e-05,8.781425891181989e-05,1299,,,,
8.781425891181989e-05,8.781425891181989e-05,1299,,,,
,,1299,1.3641808032989502,2,,
8.734521575984991e-05,8.734521575984991e-05,1349,,,,
8.734521575984991e-05,8.734521575984991e-05,1349,,,,
,,1349,1.108339548110962,2,,
8.687617260787992e-05,8.687617260787992e-05,1399,,,,
8.687617260787992e-05,8.687617260787992e-05,1399,,,,
,,1399,0.90992671251297,2,,
8.640712945590996e-05,8.640712945590996e-05,1449,,,,
8.640712945590996e-05,8.640712945590996e-05,1449,,,,
,,1449,0.9408121705055237,2,,
8.593808630393996e-05,8.593808630393996e-05,1499,,,,
8.593808630393996e-05,8.593808630393996e-05,1499,,,,
,,1499,1.185393214225769,2,,
8.546904315196998e-05,8.546904315196998e-05,1549,,,,
8.546904315196998e-05,8.546904315196998e-05,1549,,,,
,,1549,0.79680997133255,2,,
8.5e-05,8.5e-05,1599,,,,
8.5e-05,8.5e-05,1599,,,,
,,1599,1.179216980934143,2,,
,,1601,,2,1.0280452966690063,0.038010221465076655
8.453095684803001e-05,8.453095684803001e-05,1649,,,,
8.453095684803001e-05,8.453095684803001e-05,1649,,,,
,,1649,0.9610032439231873,3,,
8.406191369606005e-05,8.406191369606005e-05,1699,,,,
8.406191369606005e-05,8.406191369606005e-05,1699,,,,
,,1699,1.2734193801879883,3,,
8.359287054409006e-05,8.359287054409006e-05,1749,,,,
8.359287054409006e-05,8.359287054409006e-05,1749,,,,
,,1749,1.2588326930999756,3,,
8.312382739212008e-05,8.312382739212008e-05,1799,,,,
8.312382739212008e-05,8.312382739212008e-05,1799,,,,
,,1799,0.7717862725257874,3,,
8.26547842401501e-05,8.26547842401501e-05,1849,,,,
8.26547842401501e-05,8.26547842401501e-05,1849,,,,
,,1849,1.4666744470596313,3,,
8.218574108818011e-05,8.218574108818011e-05,1899,,,,
8.218574108818011e-05,8.218574108818011e-05,1899,,,,
,,1899,0.7599325180053711,3,,
8.171669793621014e-05,8.171669793621014e-05,1949,,,,
8.171669793621014e-05,8.171669793621014e-05,1949,,,,
,,1949,0.8147949576377869,3,,
8.124765478424015e-05,8.124765478424015e-05,1999,,,,
8.124765478424015e-05,8.124765478424015e-05,1999,,,,
,,1999,0.7099714875221252,3,,
8.077861163227017e-05,8.077861163227017e-05,2049,,,,
8.077861163227017e-05,8.077861163227017e-05,2049,,,,
,,2049,0.8115201592445374,3,,
8.03095684803002e-05,8.03095684803002e-05,2099,,,,
8.03095684803002e-05,8.03095684803002e-05,2099,,,,
,,2099,0.6609032154083252,3,,
,,2135,,3,0.707763671875,0.17683475298126067
7.98405253283302e-05,7.98405253283302e-05,2149,,,,
7.98405253283302e-05,7.98405253283302e-05,2149,,,,
,,2149,0.6304031610488892,4,,
7.937148217636022e-05,7.937148217636022e-05,2199,,,,
7.937148217636022e-05,7.937148217636022e-05,2199,,,,
,,2199,0.7627755403518677,4,,
7.890243902439024e-05,7.890243902439024e-05,2249,,,,
7.890243902439024e-05,7.890243902439024e-05,2249,,,,
,,2249,0.5380813479423523,4,,
7.843339587242027e-05,7.843339587242027e-05,2299,,,,
7.843339587242027e-05,7.843339587242027e-05,2299,,,,
,,2299,0.4319591820240021,4,,
7.796435272045029e-05,7.796435272045029e-05,2349,,,,
7.796435272045029e-05,7.796435272045029e-05,2349,,,,
,,2349,0.64944988489151,4,,
7.74953095684803e-05,7.74953095684803e-05,2399,,,,
7.74953095684803e-05,7.74953095684803e-05,2399,,,,
,,2399,0.5862588882446289,4,,
7.702626641651032e-05,7.702626641651032e-05,2449,,,,
7.702626641651032e-05,7.702626641651032e-05,2449,,,,
,,2449,0.7287909388542175,4,,
7.655722326454035e-05,7.655722326454035e-05,2499,,,,
7.655722326454035e-05,7.655722326454035e-05,2499,,,,
,,2499,0.48728761076927185,4,,
7.608818011257036e-05,7.608818011257036e-05,2549,,,,
7.608818011257036e-05,7.608818011257036e-05,2549,,,,
,,2549,0.8252500891685486,4,,
7.561913696060038e-05,7.561913696060038e-05,2599,,,,
7.561913696060038e-05,7.561913696060038e-05,2599,,,,
,,2599,0.4365668296813965,4,,
7.515009380863039e-05,7.515009380863039e-05,2649,,,,
7.515009380863039e-05,7.515009380863039e-05,2649,,,,
,,2649,0.44139564037323,4,,
,,2669,,4,0.5107619166374207,0.22712640545144808
7.468105065666041e-05,7.468105065666041e-05,2699,,,,
7.468105065666041e-05,7.468105065666041e-05,2699,,,,
,,2699,0.29832184314727783,5,,
7.421200750469045e-05,7.421200750469045e-05,2749,,,,
7.421200750469045e-05,7.421200750469045e-05,2749,,,,
,,2749,0.422587126493454,5,,
7.374296435272045e-05,7.374296435272045e-05,2799,,,,
7.374296435272045e-05,7.374296435272045e-05,2799,,,,
,,2799,0.4167318046092987,5,,
7.327392120075048e-05,7.327392120075048e-05,2849,,,,
7.327392120075048e-05,7.327392120075048e-05,2849,,,,
,,2849,0.7724090814590454,5,,
7.280487804878048e-05,7.280487804878048e-05,2899,,,,
7.280487804878048e-05,7.280487804878048e-05,2899,,,,
,,2899,0.36551541090011597,5,,
7.23358348968105e-05,7.23358348968105e-05,2949,,,,
7.23358348968105e-05,7.23358348968105e-05,2949,,,,
,,2949,0.39670851826667786,5,,
7.186679174484054e-05,7.186679174484054e-05,2999,,,,
7.186679174484054e-05,7.186679174484054e-05,2999,,,,
,,2999,0.6099240779876709,5,,
7.139774859287055e-05,7.139774859287055e-05,3049,,,,
7.139774859287055e-05,7.139774859287055e-05,3049,,,,
,,3049,0.5291064977645874,5,,
7.092870544090057e-05,7.092870544090057e-05,3099,,,,
7.092870544090057e-05,7.092870544090057e-05,3099,,,,
,,3099,0.34906014800071716,5,,
7.045966228893058e-05,7.045966228893058e-05,3149,,,,
7.045966228893058e-05,7.045966228893058e-05,3149,,,,
,,3149,0.256670743227005,5,,
6.99906191369606e-05,6.99906191369606e-05,3199,,,,
